City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
302,kourou,5.1552,-52.6478,29.03,74,73,3.15,GF,1698061736
303,miri,4.4148,114.0089,29.08,74,40,2.06,MY,1698061737
304,jiwani,25.05,61.7417,28.04,69,2,4.93,PK,1698061738
305,bhimunipatnam,17.8833,83.4333,30.73,69,100,2.23,IN,1698061612
306,sake,-1.5736,29.045,24.42,67,98,1.47,CD,1698061739
307,happy valley-goose bay,53.3168,-60.3315,1.17,60,100,5.66,CA,1698061740
308,san jose del cabo,23.0589,-109.6977,26.52,89,5,3.16,MX,1698061740
309,sinabang,2.4803,96.3801,26.54,80,73,1.25,ID,1698061741
310,port saint john's,-31.6229,29.5448,21.62,65,75,4.83,ZA,1698061741
311,south hedland,-20.4089,118.5983,27.96,78,1,2.57,AU,1698061742
312,igarka,67.4667,86.5833,-3.77,95,50,2.39,RU,1698061743
313,ca mau,9.1769,105.15,26.0,88,80,1.17,VN,1698061743
314,viedma,-40.8135,-62.9967,13.34,60,97,6.53,AR,1698061744
315,roxas,11.5853,122.7511,26.19,86,100,2.24,PH,1698061732
316,ixtapa,20.7,-105.2,21.96,78,66,1.69,MX,1698061745
317,lagoa formosa,-18.7786,-46.4075,26.12,42,51,3.69,BR,1698061746
318,guerrero negro,27.9769,-114.0611,19.36,80,45,8.64,MX,1698061746
319,namibe,-15.1961,12.1522,25.71,63,40,7.48,AO,1698061747
320,rezh,57.37,61.4043,0.38,69,99,5.17,RU,1698061748
321,polyarnyy,69.1989,33.4478,2.09,62,94,6.2,RU,1698061748
322,bandon,51.7469,-8.7425,12.77,90,100,5.39,IE,1698061749
323,george town,5.4112,100.3354,29.99,70,20,3.6,MY,1698061514
324,pisco,-13.7,-76.2167,19.03,88,43,2.57,PE,1698061750
325,boende,-0.2167,20.8667,30.7,67,85,1.02,CD,1698061751
326,lubao,14.9167,120.55,27.84,90,100,3.27,PH,1698061751
327,urangan,-25.3,152.9,22.54,78,0,7.27,AU,1698061752
328,reggane,26.7158,0.1714,39.47,10,98,8.91,DZ,1698061752
329,cestos city,5.46,-9.5828,28.43,73,35,3.24,LR,1698061753
330,luanco,43.6152,-5.7934,14.71,88,100,3.81,ES,1698061754
331,bani walid,31.7566,13.9942,36.11,15,0,4.2,LY,1698061754
332,ebon,4.582,168.6964,28.36,75,95,1.99,MH,1698061755
333,hammerfest,70.6634,23.6821,1.25,75,100,0.0,NO,1698061755
334,sarmiento,-45.5882,-69.07,12.11,39,2,4.27,AR,1698061756
335,fort bragg,35.139,-79.006,8.23,89,0,0.0,US,1698061757
336,saldanha,-33.0117,17.9442,22.03,76,38,5.35,ZA,1698061758
337,saint-pierre,-21.3393,55.4781,26.82,65,75,3.09,RE,1698061758
338,kulhudhuffushi,6.6221,73.07,26.55,80,100,5.36,MV,1698061759
339,peddapalli,18.6167,79.3667,24.8,62,13,2.79,IN,1698061760
340,labrador city,52.9463,-66.9114,-3.05,86,100,1.54,CA,1698061760
